symbol,systematic_name,nutrient,rate,expression,bp,mf
SPC97,YHR172W,Glucose,0.05,-0.65,microtubule nucleation,structural constituent of cytoskeleton
MRC1,YCL061C,Glucose,0.05,-0.68,chromatin silencing at telomere*,molecular function unknown
SAS3,YBL052C,Glucose,0.05,-0.41,chromatin silencing at telomere*,histone acetyltransferase activity*
ERG5,YMR015C,Glucose,0.05,-0.44,ergosterol biosynthesis,C-22 sterol desaturase activity
HSL1,YKL101W,Glucose,0.05,-0.72,protein amino acid phosphorylation*,protein kinase activity
NA,YDL211C,Glucose,0.05,-0.75,biological process unknown,molecular function unknown
HCM1,YCR065W,Glucose,0.05,-0.91,transcription initiation from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity
NA,YBR238C,Glucose,0.05,-0.76,biological process unknown,molecular function unknown
NA,YDR444W,Glucose,0.05,-0.42,biological process unknown,molecular function unknown
NA,YDR539W,Glucose,0.05,-0.37,biological process unknown,molecular function unknown
NA,YGL193C,Glucose,0.05,-0.31,NA,NA
HRK1,YOR267C,Glucose,0.05,-0.36,cell ion homeostasis,protein kinase activity
NA,YDL012C,Glucose,0.05,-0.1,biological process unknown,molecular function unknown
URA6,YKL024C,Glucose,0.05,-0.67,'de novo' pyrimidine base biosynthesis*,uridine kinase activity
NA,YKR045C,Glucose,0.05,-0.34,biological process unknown,molecular function unknown
NOG2,YNR053C,Glucose,0.05,-0.35,ribosome assembly*,GTPase activity
PTM1,YKL039W,Glucose,0.05,-0.25,biological process unknown,molecular function unknown
ALG1,YBR110W,Glucose,0.05,-0.27,protein amino acid N-linked glycosylation*,"beta-1,4-mannosyltransferase activity"
KAR2,YJL034W,Glucose,0.05,-0.18,"SRP-dependent cotranslational protein-membrane targeting, translocation*",ATPase activity*
PUS1,YPL212C,Glucose,0.05,-0.14,tRNA modification,tRNA-pseudouridine synthase activity
LPP1,YDR503C,Glucose,0.05,-0.08,phospholipid metabolism,phosphatidate phosphatase activity
MET31,YPL038W,Glucose,0.05,0.14,regulation of transcription*,DNA binding*
SER3,YER081W,Glucose,0.05,-1.09,serine family amino acid biosynthesis,phosphoglycerate dehydrogenase activity
GAL80,YML051W,Glucose,0.05,-0.16,"regulation of transcription, DNA-dependent*",transcription corepressor activity
RPL3,YOR063W,Glucose,0.05,-0.17,protein biosynthesis*,structural constituent of ribosome
NA,YLR326W,Glucose,0.05,0,biological process unknown,molecular function unknown
DOS2,YDR068W,Glucose,0.05,-0.05,biological process unknown,molecular function unknown
RRP14,YKL082C,Glucose,0.05,0.03,establishment of cell polarity (sensu Fungi)*,molecular function unknown
INO80,YGL150C,Glucose,0.05,-0.29,DNA repair*,ATPase activity
NA,YKL105C,Glucose,0.05,-0.34,biological process unknown,molecular function unknown
BMH1,YER177W,Glucose,0.05,-0.35,sporulation (sensu Fungi)*,protein binding*
RRP6,YOR001W,Glucose,0.05,-0.44,35S primary transcript processing*,3'-5'-exoribonuclease activity
BUD3,YCL014W,Glucose,0.05,-0.69,cytokinesis*,molecular function unknown
NA,YNR047W,Glucose,0.05,-0.46,response to pheromone,protein kinase activity
POM152,YMR129W,Glucose,0.05,-0.12,mRNA-nucleus export*,structural molecule activity
YCF1,YDR135C,Glucose,0.05,-0.23,response to metal ion*,bilirubin transporter activity*
DRS2,YAL026C,Glucose,0.05,0.12,processing of 20S pre-rRNA*,ATPase activity*
NA,YDL193W,Glucose,0.05,-0.18,biological process unknown,prenyltransferase activity
RHR2,YIL053W,Glucose,0.05,0.46,response to osmotic stress*,glycerol-1-phosphatase activity
FBA1,YKL060C,Glucose,0.05,0.22,glycolysis*,fructose-bisphosphate aldolase activity
QDR1,YIL120W,Glucose,0.05,-0.29,multidrug transport,multidrug transporter activity*
THI7,YLR237W,Glucose,0.05,0.2,thiamin transport,thiamin transporter activity
NA,YDL089W,Glucose,0.05,-0.14,biological process unknown,molecular function unknown
SLN1,YIL147C,Glucose,0.05,-0.51,protein amino acid phosphorylation*,osmosensor activity*
CWH41,YGL027C,Glucose,0.05,-0.87,cell wall organization and biogenesis,mannosyl-oligosaccharide glucosidase activity
PPR1,YLR014C,Glucose,0.05,-0.33,"regulation of transcription, DNA-dependent*",transcription factor activity
SEC2,YNL272C,Glucose,0.05,-0.38,exocytosis,guanyl-nucleotide exchange factor activity
SKT5,YBL061C,Glucose,0.05,-0.83,response to osmotic stress*,enzyme activator activity
SMI1,YGR229C,Glucose,0.05,-0.5,cell wall organization and biogenesis*,molecular function unknown
GCR1,YPL075W,Glucose,0.05,-0.99,positive regulation of transcription from RNA polymerase II promoter*,DNA binding*
TDH1,YJL052W,Glucose,0.05,-0.69,glycolysis*,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity
ADH1,YOL086C,Glucose,0.05,-1.49,fermentation,alcohol dehydrogenase activity
PFK2,YMR205C,Glucose,0.05,-0.92,glycolysis,6-phosphofructokinase activity
PGK1,YCR012W,Glucose,0.05,-0.86,glycolysis*,phosphoglycerate kinase activity
ENO2,YHR174W,Glucose,0.05,-1.46,glycolysis*,phosphopyruvate hydratase activity
ENO1,YGR254W,Glucose,0.05,-1.59,glycolysis*,phosphopyruvate hydratase activity
PGI1,YBR196C,Glucose,0.05,-1.03,glycolysis*,glucose-6-phosphate isomerase activity
