symbol,systematic_name,nutrient,rate,expression,bp,mf
AST2,YER101C,Phosphate,0.25,0.01,biological process unknown,molecular function unknown
YIM1,YMR152W,Phosphate,0.25,0.15,mitochondrial protein processing,peptidase activity
DMA2,YNL116W,Phosphate,0.25,0.34,mitotic spindle checkpoint*,molecular function unknown
PDR3,YBL005W,Phosphate,0.25,0.46,regulation of transcription from RNA polymerase II promoter*,DNA binding*
TUL1,YKL034W,Phosphate,0.25,-0.01,protein ubiquitination*,ubiquitin-protein ligase activity
NA,YJL206C,Phosphate,0.25,0.17,biological process unknown,molecular function unknown
NA,YKL023W,Phosphate,0.25,0.53,biological process unknown,molecular function unknown
NA,YFL034W,Phosphate,0.25,0.19,biological process unknown,molecular function unknown
FHL1,YPR104C,Phosphate,0.25,0.34,rRNA processing*,transcription factor activity
VHS1,YDR247W,Phosphate,0.25,0.27,protein amino acid phosphorylation*,protein kinase activity*
PHO80,YOL001W,Phosphate,0.25,0.22,regulation of phosphate metabolism,cyclin-dependent protein kinase regulator activity
NA,YKL065C,Phosphate,0.25,0.14,biological process unknown,molecular function unknown
LIF1,YGL090W,Phosphate,0.25,0.02,double-strand break repair via nonhomologous end-joining,structural molecule activity
IMH1,YLR309C,Phosphate,0.25,0.05,vesicle-mediated transport,molecular function unknown
JNM1,YMR294W,Phosphate,0.25,0.02,nuclear migration,structural constituent of cytoskeleton
ERP5,YHR110W,Phosphate,0.25,0.07,secretory pathway,molecular function unknown
RRN9,YMR270C,Phosphate,0.25,0.1,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity*
PLP2,YOR281C,Phosphate,0.25,0.36,positive regulation of transcription from RNA polymerase II promoter by pheromones,GTPase inhibitor activity
FAR10,YLR238W,Phosphate,0.25,0.18,cell cycle arrest in response to pheromone,molecular function unknown
SGM1,YJR134C,Phosphate,0.25,0.18,biological process unknown,molecular function unknown
NA,YDR219C,Phosphate,0.25,0.12,ubiquitin-dependent protein catabolism,protein binding
POB3,YML069W,Phosphate,0.25,0.39,chromatin remodeling*,chromatin binding
SMC4,YLR086W,Phosphate,0.25,0.3,mitotic sister chromatid segregation*,ATPase activity*
RAD54,YGL163C,Phosphate,0.25,0.19,chromatin remodeling*,DNA-dependent ATPase activity*
PRP2,YNR011C,Phosphate,0.25,0.02,U2-type catalytic spliceosome formation for first transesterification step,"RNA splicing factor activity, transesterification mechanism*"
INP51,YIL002C,Phosphate,0.25,0.13,cell wall organization and biogenesis*,inositol-polyphosphate 5-phosphatase activity
NGG1,YDR176W,Phosphate,0.25,-0.11,histone acetylation*,transcription cofactor activity
MCM2,YBL023C,Phosphate,0.25,0.1,DNA replication initiation*,chromatin binding*
RNR2,YJL026W,Phosphate,0.25,0.58,DNA replication,ribonucleoside-diphosphate reductase activity
ABF1,YKL112W,Phosphate,0.25,0.4,DNA replication*,DNA binding*
POL2,YNL262W,Phosphate,0.25,0.16,chromatin silencing at telomere*,epsilon DNA polymerase activity
VPS1,YKR001C,Phosphate,0.25,0.14,protein-vacuolar targeting*,GTPase activity
MSN1,YOL116W,Phosphate,0.25,0.2,invasive growth (sensu Saccharomyces)*,transcriptional activator activity
YPT11,YNL304W,Phosphate,0.25,0.05,mitochondrion inheritance,GTPase activity
CDC53,YDL132W,Phosphate,0.25,0.16,G1/S transition of mitotic cell cycle*,structural molecule activity*
SPP41,YDR464W,Phosphate,0.25,0,negative regulation of transcription from RNA polymerase II promoter,molecular function unknown
ARO80,YDR421W,Phosphate,0.25,0.12,positive regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity
PIF1,YML061C,Phosphate,0.25,0.34,mitochondrial genome maintenance*,DNA helicase activity
SMC2,YFR031C,Phosphate,0.25,0.11,mitotic sister chromatid segregation*,ATPase activity*
RFM1,YOR279C,Phosphate,0.25,0.23,chromatin silencing,unfolded protein binding
NA,YPL025C,Phosphate,0.25,0.42,NA,NA
CDC55,YGL190C,Phosphate,0.25,0.24,protein biosynthesis*,protein phosphatase type 2A activity
DOA4,YDR069C,Phosphate,0.25,0.04,endocytosis*,endopeptidase activity*
ESP1,YGR098C,Phosphate,0.25,0.35,mitotic sister chromatid segregation*,cysteine-type endopeptidase activity
MGS1,YNL218W,Phosphate,0.25,0.53,DNA replication*,ATPase activity*
RDH54,YBR073W,Phosphate,0.25,0.35,meiotic recombination*,DNA-dependent ATPase activity*
PDS1,YDR113C,Phosphate,0.25,0.51,mitotic sister chromatid segregation*,protein binding
MIF2,YKL089W,Phosphate,0.25,0.47,chromosome segregation*,centromeric DNA binding
SMC1,YFL008W,Phosphate,0.25,0.38,mitotic sister chromatid segregation*,ATPase activity*
KAR3,YPR141C,Phosphate,0.25,0.28,meiosis*,microtubule motor activity*
SPC110,YDR356W,Phosphate,0.25,0.44,microtubule nucleation,structural constituent of cytoskeleton
SAP185,YJL098W,Phosphate,0.25,0.26,G1/S transition of mitotic cell cycle,protein serine/threonine phosphatase activity
APL5,YPL195W,Phosphate,0.25,0.22,vesicle-mediated transport*,protein binding
CDC2,YDL102W,Phosphate,0.25,0.58,nucleotide-excision repair*,delta DNA polymerase activity
UFD2,YDL190C,Phosphate,0.25,0.26,response to stress*,ubiquitin conjugating enzyme activity
IPL1,YPL209C,Phosphate,0.25,0.4,chromosome segregation*,protein kinase activity
CSE4,YKL049C,Phosphate,0.25,0.51,mitotic sister chromatid segregation,centromeric DNA binding
NA,YOR114W,Phosphate,0.25,0.6,biological process unknown,molecular function unknown
NA,YOR154W,Phosphate,0.25,0.27,biological process unknown,molecular function unknown
SPT6,YGR116W,Phosphate,0.25,0.34,"regulation of transcription, DNA-dependent*",RNA polymerase II transcription elongation factor activity
MUD2,YKL074C,Phosphate,0.25,0.92,U2-type nuclear mRNA branch site recognition,"RNA splicing factor activity, transesterification mechanism*"
RTT105,YER104W,Phosphate,0.25,0.79,negative regulation of DNA transposition,molecular function unknown
CIK1,YMR198W,Phosphate,0.25,0.58,meiosis*,microtubule motor activity
PRP28,YDR243C,Phosphate,0.25,0.27,cis assembly of U2-type pre-catalytic spliceosome,"RNA splicing factor activity, transesterification mechanism*"
CHC1,YGL206C,Phosphate,0.25,0.43,endocytosis*,structural molecule activity
NA,YMR252C,Phosphate,0.25,0.66,biological process unknown,molecular function unknown
PMR1,YGL167C,Phosphate,0.25,0.36,secretory pathway*,calcium-transporting ATPase activity*
SNT2,YGL131C,Phosphate,0.25,0.69,biological process unknown,DNA binding
RIS1,YOR191W,Phosphate,0.25,0.14,chromatin assembly or disassembly*,DNA-dependent ATPase activity
RHO5,YNL180C,Phosphate,0.25,0.38,Rho protein signal transduction,GTPase activity
CTF4,YPR135W,Phosphate,0.25,0.3,DNA repair*,DNA binding
GPI17,YDR434W,Phosphate,0.25,0.41,attachment of GPI anchor to protein,GPI-anchor transamidase activity
VPS64,YDR200C,Phosphate,0.25,0.3,protein-vacuolar targeting*,molecular function unknown
ERV2,YPR037C,Phosphate,0.25,0.94,protein thiol-disulfide exchange,thiol oxidase activity
NA,YDL129W,Phosphate,0.25,0.63,biological process unknown,molecular function unknown
VPS70,YJR126C,Phosphate,0.25,0.23,protein-vacuolar targeting,molecular function unknown
SMC5,YOL034W,Phosphate,0.25,0.36,DNA repair*,molecular function unknown
NA,YER051W,Phosphate,0.25,0.54,biological process unknown,molecular function unknown
SFI1,YLL003W,Phosphate,0.25,0.51,G2/M transition of mitotic cell cycle*,molecular function unknown
NMD2,YHR077C,Phosphate,0.25,0.53,mRNA catabolism*,protein binding
CRS5,YOR031W,Phosphate,0.25,0.28,response to metal ion,copper ion binding
CYR1,YJL005W,Phosphate,0.25,0.79,meiosis*,adenylate cyclase activity
NA,YPL150W,Phosphate,0.25,0.51,biological process unknown,protein kinase activity
GPR1,YDL035C,Phosphate,0.25,0.42,pseudohyphal growth*,G-protein coupled receptor activity
NA,YBR094W,Phosphate,0.25,1.02,biological process unknown,molecular function unknown
NA,YDR520C,Phosphate,0.25,0.25,biological process unknown,molecular function unknown
RIM13,YMR154C,Phosphate,0.25,0.43,protein processing,cysteine-type endopeptidase activity
LCB4,YOR171C,Phosphate,0.25,0.31,sphingolipid metabolism*,D-erythro-sphingosine kinase activity
ARR1,YPR199C,Phosphate,0.25,0.16,positive regulation of transcription from RNA polymerase II promoter*,RNA polymerase II transcription factor activity
CIS1,YDR022C,Phosphate,0.25,0.22,microtubule cytoskeleton organization and biogenesis,molecular function unknown
TPO4,YOR273C,Phosphate,0.25,0.77,polyamine transport,spermine transporter activity*
HTB1,YDR224C,Phosphate,0.25,0.79,chromatin assembly or disassembly*,DNA binding
PEX22,YAL055W,Phosphate,0.25,0.33,protein-peroxisome targeting,molecular function unknown
NDL1,YLR254C,Phosphate,0.25,0.43,"nuclear migration, microtubule-mediated",molecular function unknown
GCN2,YDR283C,Phosphate,0.25,0.21,protein amino acid phosphorylation*,protein kinase activity*
ELM1,YKL048C,Phosphate,0.25,0.57,protein amino acid phosphorylation*,protein serine/threonine kinase activity
PRP22,YER013W,Phosphate,0.25,0.19,U2-type spliceosome dissembly,"RNA splicing factor activity, transesterification mechanism*"
NA,YHR140W,Phosphate,0.25,1.35,biological process unknown,molecular function unknown
RRI2,YOL117W,Phosphate,0.25,0.83,adaptation to pheromone during conjugation with cellular fusion*,molecular function unknown
ADP1,YCR011C,Phosphate,0.25,0.99,transport,"ATPase activity, coupled to transmembrane movement of substances"
SKS1,YPL026C,Phosphate,0.25,0.74,protein amino acid phosphorylation*,protein serine/threonine kinase activity
NTH2,YBR001C,Phosphate,0.25,1.34,response to stress*,"alpha,alpha-trehalase activity"
DIA3,YDL024C,Phosphate,0.25,1.53,pseudohyphal growth*,acid phosphatase activity
SKN1,YGR143W,Phosphate,0.25,0.51,cell wall organization and biogenesis*,glucosidase activity
TPK1,YJL164C,Phosphate,0.25,1.58,protein amino acid phosphorylation*,protein serine/threonine kinase activity*
NA,YMR090W,Phosphate,0.25,1.34,biological process unknown,molecular function unknown
MSN4,YKL062W,Phosphate,0.25,0.7,response to stress*,DNA binding*
WHI2,YOR043W,Phosphate,0.25,0.42,endocytosis*,phosphatase activator activity
MOD5,YOR274W,Phosphate,0.25,0.51,tRNA modification,tRNA isopentenyltransferase activity
RPH1,YER169W,Phosphate,0.25,0.26,DNA repair*,specific transcriptional repressor activity
NA,YNL115C,Phosphate,0.25,0.17,biological process unknown,molecular function unknown
PRP40,YKL012W,Phosphate,0.25,0.38,"nuclear mRNA splicing, via spliceosome",RNA binding
NA,YMR153C-A,Phosphate,0.25,0.57,NA,NA
EMP24,YGL200C,Phosphate,0.25,0.17,ER to Golgi transport*,molecular function unknown
HMI1,YOL095C,Phosphate,0.25,0.37,mitochondrial genome maintenance,ATP-dependent DNA helicase activity
KIP3,YGL216W,Phosphate,0.25,0.48,mitotic spindle organization and biogenesis in nucleus*,microtubule motor activity
RIF1,YBR275C,Phosphate,0.25,0.58,chromatin silencing at telomere*,protein binding*
HPR5,YJL092W,Phosphate,0.25,0.36,DNA repair*,DNA helicase activity
IRR1,YIL026C,Phosphate,0.25,0.56,mitotic sister chromatid cohesion*,protein binding
SLD2,YKL108W,Phosphate,0.25,0.58,DNA strand elongation,molecular function unknown
DIG2,YDR480W,Phosphate,0.25,0.65,invasive growth (sensu Saccharomyces),transcription factor binding
MVP1,YMR004W,Phosphate,0.25,0.44,protein-vacuolar targeting,molecular function unknown
PRP24,YMR268C,Phosphate,0.25,0.21,spliceosome assembly*,"RNA splicing factor activity, transesterification mechanism"
PEX19,YDL065C,Phosphate,0.25,0.32,protein folding*,protein binding
BIR1,YJR089W,Phosphate,0.25,0.33,chromosome segregation,molecular function unknown
UBP2,YOR124C,Phosphate,0.25,0.17,protein deubiquitination,ubiquitin-specific protease activity
DCP2,YNL118C,Phosphate,0.25,0.36,mRNA catabolism*,mRNA binding*
CUL3,YGR003W,Phosphate,0.25,0.57,ubiquitin-dependent protein catabolism,protein binding*
NA,YBL060W,Phosphate,0.25,0.36,biological process unknown,molecular function unknown
NA,YKL033W,Phosphate,0.25,0.22,biological process unknown,molecular function unknown
NA,YPL216W,Phosphate,0.25,0.53,biological process unknown,molecular function unknown
ATG13,YPR185W,Phosphate,0.25,0.52,protein-vacuolar targeting*,protein binding
ITC1,YGL133W,Phosphate,0.25,0.22,chromatin remodeling*,molecular function unknown
FIG4,YNL325C,Phosphate,0.25,0.11,cellular morphogenesis during conjugation with cellular fusion,polyphosphoinositide phosphatase activity
CCZ1,YBR131W,Phosphate,0.25,0.12,protein-vacuolar targeting*,guanyl-nucleotide exchange factor activity
NA,YBR100W,Phosphate,0.25,-0.01,NA,NA
NA,YMR253C,Phosphate,0.25,0.92,biological process unknown,molecular function unknown
CRM1,YGR218W,Phosphate,0.25,0.33,mRNA-nucleus export*,protein carrier activity
STU1,YBL034C,Phosphate,0.25,0.25,microtubule nucleation,structural constituent of cytoskeleton
NA,YER129W,Phosphate,0.25,0.4,protein amino acid phosphorylation*,protein kinase activity
NA,YLR173W,Phosphate,0.25,0.4,biological process unknown,molecular function unknown
RIM20,YOR275C,Phosphate,0.25,0.35,invasive growth (sensu Saccharomyces)*,molecular function unknown
SUB1,YMR039C,Phosphate,0.25,0.77,positive regulation of transcription from RNA polymerase II promoter*,transcription coactivator activity
NA,YHR159W,Phosphate,0.25,0.17,biological process unknown,molecular function unknown
NA,YJL055W,Phosphate,0.25,0.47,biological process unknown,molecular function unknown
PEX30,YLR324W,Phosphate,0.25,0.34,peroxisome organization and biogenesis,molecular function unknown
SPG3,YDR504C,Phosphate,0.25,-0.67,biological process unknown,molecular function unknown
NA,YOL048C,Phosphate,0.25,0.02,biological process unknown,molecular function unknown
HSP33,YOR391C,Phosphate,0.25,-0.06,biological process unknown,unfolded protein binding*
YPS1,YLR120C,Phosphate,0.25,0.29,protein processing,aspartic-type endopeptidase activity
MRH1,YDR033W,Phosphate,0.25,-0.04,biological process unknown,molecular function unknown
STB5,YHR178W,Phosphate,0.25,0.52,transcription*,transcription factor activity
NA,YMR304C-A,Phosphate,0.25,0.32,NA,NA
YAP5,YIR018W,Phosphate,0.25,0.62,positive regulation of transcription from RNA polymerase II promoter*,RNA polymerase II transcription factor activity
ERG27,YLR100W,Phosphate,0.25,0.43,ergosterol biosynthesis,3-keto sterol reductase activity
NUP159,YIL115C,Phosphate,0.25,0.2,mRNA-nucleus export*,structural molecule activity
SUA7,YPR086W,Phosphate,0.25,0.48,transcription initiation from RNA polymerase II promoter,general RNA polymerase II transcription factor activity
PCI8,YIL071C,Phosphate,0.25,0.58,protein deneddylation,molecular function unknown
ASI2,YNL159C,Phosphate,0.25,0.52,ubiquitin-dependent protein catabolism,molecular function unknown
NA,YPL206C,Phosphate,0.25,0.13,biological process unknown,molecular function unknown
NA,YLR241W,Phosphate,0.25,0.06,biological process unknown,molecular function unknown
ATG22,YCL038C,Phosphate,0.25,0.06,protein-vacuolar targeting*,molecular function unknown
DGA1,YOR245C,Phosphate,0.25,0.38,triacylglycerol biosynthesis*,diacylglycerol O-acyltransferase activity
TEP1,YNL128W,Phosphate,0.25,0.27,spore wall assembly (sensu Fungi)*,inositol or phosphatidylinositol phosphatase activity
YKU70,YMR284W,Phosphate,0.25,0.07,chromatin assembly or disassembly*,RNA binding*
NA,YOR111W,Phosphate,0.25,0.39,biological process unknown,molecular function unknown
BUD13,YGL174W,Phosphate,0.25,0.2,bud site selection,molecular function unknown
TLG1,YDR468C,Phosphate,0.25,0.13,vesicle fusion,v-SNARE activity*
SYS1,YJL004C,Phosphate,0.25,0.13,Golgi to endosome transport*,molecular function unknown
RAD24,YER173W,Phosphate,0.25,0.12,meiotic recombination*,DNA clamp loader activity
YPT10,YBR264C,Phosphate,0.25,-0.02,Golgi organization and biogenesis,GTPase activity*
NA,YKR017C,Phosphate,0.25,-0.01,biological process unknown,molecular function unknown
VPS51,YKR020W,Phosphate,0.25,0.08,protein-vacuolar targeting*,protein binding
FAR7,YFR008W,Phosphate,0.25,-0.21,cell cycle arrest in response to pheromone,molecular function unknown
PEP8,YJL053W,Phosphate,0.25,0.05,protein retention in Golgi*,molecular function unknown
RPN11,YFR004W,Phosphate,0.25,0.18,ubiquitin-dependent protein catabolism,endopeptidase activity
NFU1,YKL040C,Phosphate,0.25,0.24,iron ion homeostasis,molecular function unknown
OAZ1,YPL052W,Phosphate,0.25,0.01,protein catabolism,enzyme inhibitor activity
NA,YNL011C,Phosphate,0.25,-0.07,biological process unknown,molecular function unknown
INO4,YOL108C,Phosphate,0.25,0.14,positive regulation of transcription from RNA polymerase II promoter*,DNA binding*
URA5,YML106W,Phosphate,0.25,-0.04,'de novo' pyrimidine base biosynthesis,orotate phosphoribosyltransferase activity
RRN10,YBL025W,Phosphate,0.25,0.14,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity*
TFG2,YGR005C,Phosphate,0.25,0.04,transcription initiation from RNA polymerase II promoter,general RNA polymerase II transcription factor activity
NA,YDR306C,Phosphate,0.25,-0.26,ubiquitin-dependent protein catabolism,protein binding
RAD50,YNL250W,Phosphate,0.25,0.11,double-strand break repair via nonhomologous end-joining*,protein binding*
CDC37,YDR168W,Phosphate,0.25,0.13,signal transduction*,unfolded protein binding
PRP3,YDR473C,Phosphate,0.25,0.09,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
NA,YDR291W,Phosphate,0.25,0.27,biological process unknown,helicase activity
RPN7,YPR108W,Phosphate,0.25,0.48,ubiquitin-dependent protein catabolism,structural molecule activity
RPN5,YDL147W,Phosphate,0.25,0.35,ubiquitin-dependent protein catabolism,molecular function unknown
RPF1,YHR088W,Phosphate,0.25,0.53,ribosomal large subunit assembly and maintenance*,rRNA primary transcript binding
RTT103,YDR289C,Phosphate,0.25,0.38,"transcription termination from Pol II promoter, RNA polymerase(A) coupled*",molecular function unknown
PRE3,YJL001W,Phosphate,0.25,0.16,response to stress*,endopeptidase activity
RRD2,YPL152W,Phosphate,0.25,0.09,response to osmotic stress*,protein phosphatase type 2A regulator activity
TRS120,YDR407C,Phosphate,0.25,0.17,ER to Golgi transport,molecular function unknown
MUS81,YDR386W,Phosphate,0.25,0.32,DNA repair*,endonuclease activity
NA,YGR154C,Phosphate,0.25,0.21,biological process unknown,molecular function unknown
GTT2,YLL060C,Phosphate,0.25,0.33,glutathione metabolism,glutathione transferase activity
PDC6,YGR087C,Phosphate,0.25,0.5,ethanol metabolism,pyruvate decarboxylase activity
ATG9,YDL149W,Phosphate,0.25,-0.04,protein-vacuolar targeting*,molecular function unknown
NA,YDL124W,Phosphate,0.25,0.1,metabolism,alpha-keto amide reductase activity*
MSB4,YOL112W,Phosphate,0.25,0.03,actin filament organization,Rab GTPase activator activity
MLP1,YKR095W,Phosphate,0.25,0.19,mRNA-nucleus export*,ribonucleoprotein binding
TOA1,YOR194C,Phosphate,0.25,0.33,transcription initiation from RNA polymerase II promoter,general RNA polymerase II transcription factor activity
NA,YGR053C,Phosphate,0.25,-0.07,biological process unknown,molecular function unknown
NTG2,YOL043C,Phosphate,0.25,0.03,base-excision repair*,DNA-(apurinic or apyrimidinic site) lyase activity*
VAB2,YEL005C,Phosphate,0.25,-0.02,biological process unknown,protein binding
NA,YPL039W,Phosphate,0.25,0.27,biological process unknown,molecular function unknown
TFC3,YAL001C,Phosphate,0.25,0.21,transcription initiation from RNA polymerase III promoter,RNA polymerase III transcription factor activity
MLH1,YMR167W,Phosphate,0.25,0.54,meiotic recombination,DNA binding*
SWI3,YJL176C,Phosphate,0.25,0.16,chromatin remodeling,general RNA polymerase II transcription factor activity
LRG1,YDL240W,Phosphate,0.25,0.24,small GTPase mediated signal transduction*,Rho GTPase activator activity
GEA1,YJR031C,Phosphate,0.25,0.47,ER to Golgi transport*,ARF guanyl-nucleotide exchange factor activity
BRR2,YER172C,Phosphate,0.25,0.37,U2-type spliceosome conformational change to release U4 and U1,"RNA splicing factor activity, transesterification mechanism*"
VPS15,YBR097W,Phosphate,0.25,0.29,protein amino acid phosphorylation*,protein serine/threonine kinase activity
SEC7,YDR170C,Phosphate,0.25,0.14,ER to Golgi transport*,ARF guanyl-nucleotide exchange factor activity
MIG3,YER028C,Phosphate,0.25,0.83,negative regulation of transcription from RNA polymerase II promoter*,DNA binding*
ERF2,YLR246W,Phosphate,0.25,0.54,protein-membrane targeting*,protein-cysteine S-palmitoleyltransferase activity
NA,YMR226C,Phosphate,0.25,0.22,metabolism,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
NA,YNL156C,Phosphate,0.25,0.33,biological process unknown,molecular function unknown
DAP2,YHR028C,Phosphate,0.25,0.34,protein processing,dipeptidyl-peptidase and tripeptidyl-peptidase activity
ACF4,YJR083C,Phosphate,0.25,0.12,actin cytoskeleton organization and biogenesis,molecular function unknown
TFC4,YGR047C,Phosphate,0.25,0.4,transcription initiation from RNA polymerase III promoter,RNA polymerase III transcription factor activity
NA,YOR283W,Phosphate,0.25,1.12,biological process unknown,molecular function unknown
NA,YDR131C,Phosphate,0.25,0.2,ubiquitin-dependent protein catabolism,protein binding
GYP8,YFL027C,Phosphate,0.25,0.52,vesicle-mediated transport,Rab GTPase activator activity
NA,YGR071C,Phosphate,0.25,0.38,biological process unknown,molecular function unknown
NA,YDL176W,Phosphate,0.25,0.02,biological process unknown,molecular function unknown
IST1,YNL265C,Phosphate,0.25,0.16,protein biosynthesis,translation initiation factor activity
NOT5,YPR072W,Phosphate,0.25,0.06,regulation of transcription from RNA polymerase II promoter*,3'-5'-exoribonuclease activity
RVS161,YCR009C,Phosphate,0.25,0.13,endocytosis*,cytoskeletal protein binding
IPK1,YDR315C,Phosphate,0.25,0.18,myo-inositol metabolism,inositol or phosphatidylinositol kinase activity
CTK2,YJL006C,Phosphate,0.25,0.05,protein amino acid phosphorylation*,cyclin-dependent protein kinase regulator activity
NA,YBR138C,Phosphate,0.25,-0.07,biological process unknown,molecular function unknown
YRB30,YGL164C,Phosphate,0.25,0.33,biological process unknown,protein binding*
MFT1,YML062C,Phosphate,0.25,0.33,mRNA-nucleus export*,nucleic acid binding
ERG8,YMR220W,Phosphate,0.25,0.27,ergosterol biosynthesis*,phosphomevalonate kinase activity
ATE1,YGL017W,Phosphate,0.25,0.28,protein modification*,arginyltransferase activity
NA,YKR047W,Phosphate,0.25,-0.29,NA,NA
HUR1,YGL168W,Phosphate,0.25,-0.33,DNA replication,molecular function unknown
NA,YMR141C,Phosphate,0.25,-0.19,NA,NA
VPS69,YPR087W,Phosphate,0.25,0.1,NA,NA
NA,YMR294W-A,Phosphate,0.25,0.65,NA,NA
TEX1,YNL253W,Phosphate,0.25,0.01,mRNA-nucleus export,molecular function unknown
NA,YCL033C,Phosphate,0.25,0.06,response to oxidative stress,protein-methionine-R-oxide reductase activity
MOG1,YJR074W,Phosphate,0.25,0.28,protein-nucleus import,Ran GTPase binding
RPL15B,YMR121C,Phosphate,0.25,0.3,protein biosynthesis,structural constituent of ribosome*
KTR2,YKR061W,Phosphate,0.25,0.28,protein amino acid N-linked glycosylation*,mannosyltransferase activity
SNA3,YJL151C,Phosphate,0.25,0.6,biological process unknown,molecular function unknown
UIP3,YAR027W,Phosphate,0.25,0.18,biological process unknown,molecular function unknown
APC2,YLR127C,Phosphate,0.25,0.15,mitotic sister chromatid segregation*,protein binding*
GAS4,YOL132W,Phosphate,0.25,-0.14,biological process unknown,"1,3-beta-glucanosyltransferase activity"
NA,YOR292C,Phosphate,0.25,-0.46,biological process unknown,molecular function unknown
GRE2,YOL151W,Phosphate,0.25,0.4,response to stress,oxidoreductase activity*
NA,YDR222W,Phosphate,0.25,0.27,biological process unknown,molecular function unknown
YPR1,YDR368W,Phosphate,0.25,0.68,arabinose catabolism*,oxidoreductase activity*
TPO2,YGR138C,Phosphate,0.25,2.04,polyamine transport,spermine transporter activity
NA,YHR087W,Phosphate,0.25,0.81,RNA metabolism,molecular function unknown
YRO2,YBR054W,Phosphate,0.25,-0.27,biological process unknown,molecular function unknown
GRE3,YHR104W,Phosphate,0.25,0.44,response to stress*,aldo-keto reductase activity*
TPS3,YMR261C,Phosphate,0.25,0.37,response to stress*,enzyme regulator activity*
ATF1,YOR377W,Phosphate,0.25,0.24,fatty acid metabolism*,alcohol O-acetyltransferase activity
NA,YPL088W,Phosphate,0.25,0.42,aldehyde metabolism,aryl-alcohol dehydrogenase activity
DOP1,YDR141C,Phosphate,0.25,0.08,cellular morphogenesis,molecular function unknown
IRA2,YOL081W,Phosphate,0.25,0.04,Ras protein signal transduction,Ras GTPase activator activity
IRA1,YBR140C,Phosphate,0.25,-0.28,sporulation (sensu Fungi)*,Ras GTPase activator activity
TOM1,YDR457W,Phosphate,0.25,-0.04,protein monoubiquitination*,ubiquitin-protein ligase activity
RIM101,YHL027W,Phosphate,0.25,0.33,sporulation (sensu Fungi)*,specific transcriptional repressor activity
SHE4,YOR035C,Phosphate,0.25,0.5,actin cytoskeleton organization and biogenesis*,myosin binding
MON2,YNL297C,Phosphate,0.25,0.05,endocytosis*,guanyl-nucleotide exchange factor activity
MEC1,YBR136W,Phosphate,0.25,0.07,meiotic recombination*,protein kinase activity
DBP1,YPL119C,Phosphate,0.25,0.12,translational initiation*,RNA helicase activity
PIP2,YOR363C,Phosphate,0.25,0.05,peroxisome organization and biogenesis*,DNA binding*
SLH1,YGR271W,Phosphate,0.25,0.19,regulation of translation,RNA helicase activity
VID30,YGL227W,Phosphate,0.25,0.28,vacuolar protein catabolism*,molecular function unknown
GCN4,YEL009C,Phosphate,0.25,0.16,regulation of transcription from RNA polymerase II promoter*,DNA binding*
BPT1,YLL015W,Phosphate,0.25,0.07,bilirubin transport*,bilirubin transporter activity*
NA,YKR096W,Phosphate,0.25,0.29,biological process unknown,molecular function unknown
NA,YLR422W,Phosphate,0.25,0.14,biological process unknown,molecular function unknown
RPT1,YKL145W,Phosphate,0.25,0.25,ubiquitin-dependent protein catabolism,ATPase activity*
PEX1,YKL197C,Phosphate,0.25,0.23,peroxisome organization and biogenesis,ATPase activity
MMS1,YPR164W,Phosphate,0.25,0.33,DNA repair*,molecular function unknown
UGA1,YGR019W,Phosphate,0.25,0.59,nitrogen utilization,4-aminobutyrate transaminase activity
DBF2,YGR092W,Phosphate,0.25,0.05,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YPT1,YFL038C,Phosphate,0.25,0.04,ER to Golgi transport*,GTPase activity
HUL4,YJR036C,Phosphate,0.25,0.09,protein monoubiquitination*,ubiquitin-protein ligase activity
MDR1,YGR100W,Phosphate,0.25,0.09,biological process unknown,Rab GTPase activator activity
NA,YMR040W,Phosphate,0.25,-0.15,biological process unknown,molecular function unknown
NA,YKR049C,Phosphate,0.25,0.27,biological process unknown,molecular function unknown
NA,YJR061W,Phosphate,0.25,0.02,biological process unknown,molecular function unknown
STF2,YGR008C,Phosphate,0.25,0.53,ATP synthesis coupled proton transport*,molecular function unknown
PNC1,YGL037C,Phosphate,0.25,0.53,chromatin silencing at telomere*,nicotinamidase activity
NA,YDR070C,Phosphate,0.25,-0.01,biological process unknown,molecular function unknown
MBF1,YOR298C-A,Phosphate,0.25,0.51,positive regulation of transcription from RNA polymerase II promoter,transcription coactivator activity
CTL1,YMR180C,Phosphate,0.25,-0.33,RNA processing,polynucleotide 5'-phosphatase activity
RBK1,YCR036W,Phosphate,0.25,-0.27,D-ribose metabolism,ATP binding*
NA,YKL053W,Phosphate,0.25,-0.63,NA,NA
CUP2,YGL166W,Phosphate,0.25,-0.43,transcription initiation from RNA polymerase II promoter*,ligand-regulated transcription factor activity
NA,YER130C,Phosphate,0.25,-0.19,biological process unknown,molecular function unknown
COS4,YFL062W,Phosphate,0.25,-0.58,biological process unknown,molecular function unknown
COS3,YML132W,Phosphate,0.25,-1.01,sodium ion homeostasis,protein binding
